participant.id_in_session,participant.code,participant.label,participant._is_bot,participant._index_in_pages,participant._max_page_index,participant._current_app_name,participant._current_page_name,participant.time_started,participant.visited,participant.mturk_worker_id,participant.mturk_assignment_id,participant.payoff,player.id_in_group,player.classifier_result_player,player.control_correct,player.hours_stated,player.contr_task_0,player.contr_partner_0,player.contr_50noaudit_0,player.contr_50audit_0,player.contr_65noaudit_0,player.contr_35audit_0,player.contr_task,player.contr_partner,player.contr_50noaudit,player.contr_50audit,player.contr_65noaudit,player.contr_35audit,player.payoff,group.id_in_subsession,group.classifier_result,group.random_prob,group.treat,subsession.round_number,session.code,session.label,session.experimenter_name,session.mturk_HITId,session.mturk_HITGroupId,session.comment,session.is_demo
1,gjldd13j,,0,17,19,stage_2,payoff_show,2019-12-10 07:16:45.083215+00:00,1,,,10.00,1,1,1,10,1,2,50,50,60,40,,,,,,,0.00,1,1,,pred,1,l6u16r6c,,,,,,1
2,xvpchzxw,,0,17,19,stage_2,payoff_show,2019-12-10 07:16:53.031705+00:00,1,,,9.00,2,1,0,10,2,2,50,50,50,50,1,2,60,60,70,50,0.00,1,1,,pred,1,l6u16r6c,,,,,,1
3,1tk24thq,,0,17,19,stage_2,payoff_show,2019-12-10 07:16:55.001780+00:00,1,,,7.80,1,1,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0.00,2,1,,pred,1,l6u16r6c,,,,,,1
4,20p7gcna,,0,17,19,stage_2,payoff_show,2019-12-10 07:16:57.188178+00:00,1,,,7.80,2,1,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0.00,2,1,,pred,1,l6u16r6c,,,,,,1
1,wikyu86s,,0,0,19,,,,0,,,0.00,1,,,,,,,,,,,,,,,,0.00,1,,,pred,1,dqwdfa3a,December,,,,no,0
2,vkudt4x4,,0,0,19,,,,0,,,0.00,2,,,,,,,,,,,,,,,,0.00,1,,,pred,1,dqwdfa3a,December,,,,no,0
1,0yfh7e4s,,0,0,19,,,,0,,,0.00,1,,,,,,,,,,,,,,,,0.00,1,,,pred,1,zd1a5jie,,,,,,1
2,cvqhnchw,,0,0,19,,,,0,,,0.00,2,,,,,,,,,,,,,,,,0.00,1,,,pred,1,zd1a5jie,,,,,,1
3,uk72ksy4,,0,0,19,,,,0,,,0.00,1,,,,,,,,,,,,,,,,0.00,2,,,pred,1,zd1a5jie,,,,,,1
4,0lu43zg5,,0,0,19,,,,0,,,0.00,2,,,,,,,,,,,,,,,,0.00,2,,,pred,1,zd1a5jie,,,,,,1
1,iyduikxp,PC_1,0,1,19,stage_1,intro_gen,2019-12-10 10:26:05.120450+00:00,1,,,0.00,1,,,,,,,,,,,,,,,,0.00,1,,,pred,1,mn82t508,,,,,,0
2,tlw2df2o,,0,0,19,,,,0,,,0.00,2,,,,,,,,,,,,,,,,0.00,1,,,pred,1,mn82t508,,,,,,0
3,6xb7x7t8,,0,0,19,,,,0,,,0.00,1,,,,,,,,,,,,,,,,0.00,2,,,pred,1,mn82t508,,,,,,0
