session_id,participant__id_in_session,participant__code,page_index,app_name,page_name,epoch_time,seconds_on_page,subsession_pk,auto_submitted
3,1,b3apwy1z,1,stage_1,introduction,1572617897,4,3,False
3,1,b3apwy1z,2,stage_1,chat,1572617909,12,3,False
3,2,lshhw6fv,1,stage_1,introduction,1572617903,10,3,False
3,2,lshhw6fv,2,stage_1,chat,1572617907,4,3,False
6,1,xbtnznqk,1,stage_1,introduction,1572697394,3,6,False
6,1,xbtnznqk,2,stage_1,chat,1572697397,3,6,False
6,2,sx4bmch8,1,stage_1,introduction,1572697400,9,6,False
6,2,sx4bmch8,2,stage_1,chat,1572697403,3,6,False
7,1,houa8gxt,1,stage_1,introduction,1572724140,3,7,False
7,1,houa8gxt,2,stage_1,chat,1572724143,3,7,False
7,2,izh5bcta,1,stage_1,introduction,1572724146,9,7,False
7,2,izh5bcta,2,stage_1,chat,1572724149,3,7,False
8,1,tuqhumt0,1,stage_1,introduction,1572798244,3,8,False
8,1,tuqhumt0,2,stage_1,chat,1572798247,3,8,False
8,2,ih7jcb63,1,stage_1,introduction,1572798249,8,8,False
8,2,ih7jcb63,2,stage_1,chat,1572798252,3,8,False
9,1,n7cueyu2,1,stage_1,introduction,1572798354,5,9,False
9,1,n7cueyu2,2,stage_1,chat,1572798357,3,9,False
9,2,8qn7armv,1,stage_1,introduction,1572798360,11,9,False
9,2,8qn7armv,2,stage_1,chat,1572798363,3,9,False
10,1,quwtorcd,1,stage_1,introduction,1572798434,3,10,False
10,1,quwtorcd,2,stage_1,chat,1572798437,3,10,False
10,1,quwtorcd,3,stage_1,chat_wait,1572798442,5,10,False
10,1,quwtorcd,4,stage_1,income,1572798445,3,10,False
10,1,quwtorcd,5,stage_1,income_wait_2,1572798447,2,10,False
10,2,cwcj8vsg,1,stage_1,introduction,1572798439,8,10,False
10,2,cwcj8vsg,2,stage_1,chat,1572798442,3,10,False
10,2,cwcj8vsg,3,stage_1,chat_wait,1572798442,0,10,False
10,2,cwcj8vsg,4,stage_1,income,1572798447,5,10,False
10,2,cwcj8vsg,5,stage_1,income_wait_2,1572798447,0,10,False
11,1,lum4awrt,1,stage_1,introduction,1572799768,3,11,False
11,1,lum4awrt,2,stage_1,chat,1572799771,3,11,False
11,1,lum4awrt,3,stage_1,chat_wait,1572799777,6,11,False
11,1,lum4awrt,4,stage_1,income,1572799780,3,11,False
11,1,lum4awrt,5,stage_1,income_wait_2,1572799782,2,11,False
11,2,7rznjnj5,1,stage_1,introduction,1572799773,8,11,False
11,2,7rznjnj5,2,stage_1,chat,1572799776,3,11,False
11,2,7rznjnj5,3,stage_1,chat_wait,1572799776,0,11,False
11,2,7rznjnj5,4,stage_1,income,1572799782,6,11,False
11,2,7rznjnj5,5,stage_1,income_wait_2,1572799782,0,11,False
12,1,ovpwbwae,1,stage_1,introduction,1572799963,3,12,False
12,1,ovpwbwae,2,stage_1,chat,1572799965,2,12,False
12,1,ovpwbwae,3,stage_1,chat_wait,1572799971,6,12,False
12,1,ovpwbwae,4,stage_1,income,1572799973,2,12,False
12,1,ovpwbwae,5,stage_1,income_wait_2,1572799975,2,12,False
12,2,rslvtx2q,1,stage_1,introduction,1572799967,7,12,False
12,2,rslvtx2q,2,stage_1,chat,1572799970,3,12,False
12,2,rslvtx2q,3,stage_1,chat_wait,1572799971,1,12,False
12,2,rslvtx2q,4,stage_1,income,1572799974,3,12,False
12,2,rslvtx2q,5,stage_1,income_wait_2,1572799975,1,12,False
14,1,eulv1w4i,1,stage_1,introduction,1572800434,4,14,False
14,1,eulv1w4i,2,stage_1,chat,1572800437,3,14,False
14,1,eulv1w4i,3,stage_1,chat_wait,1572800443,6,14,False
14,1,eulv1w4i,4,stage_1,income,1572800446,3,14,False
14,1,eulv1w4i,5,stage_1,income_wait_2,1572800447,1,14,False
14,1,eulv1w4i,6,stage_2,income_wait,1572800447,0,4,False
14,2,nd050jcx,1,stage_1,introduction,1572800440,10,14,False
14,2,nd050jcx,2,stage_1,chat,1572800443,3,14,False
14,2,nd050jcx,3,stage_1,chat_wait,1572800443,0,14,False
14,2,nd050jcx,4,stage_1,income,1572800447,4,14,False
14,2,nd050jcx,5,stage_1,income_wait_2,1572800447,0,14,False
14,2,nd050jcx,6,stage_2,income_wait,1572800447,0,4,False
15,1,ialgu62k,1,stage_1,introduction,1572800635,3,15,False
15,1,ialgu62k,2,stage_1,chat,1572800638,3,15,False
15,1,ialgu62k,3,stage_1,chat_wait,1572800643,5,15,False
15,1,ialgu62k,4,stage_1,income,1572800646,3,15,False
15,1,ialgu62k,5,stage_1,income_wait_2,1572800647,1,15,False
15,1,ialgu62k,6,stage_2,income_wait,1572800647,0,5,False
15,2,n88kcnup,1,stage_1,introduction,1572800640,8,15,False
15,2,n88kcnup,2,stage_1,chat,1572800643,3,15,False
15,2,n88kcnup,3,stage_1,chat_wait,1572800643,0,15,False
15,2,n88kcnup,4,stage_1,income,1572800647,4,15,False
15,2,n88kcnup,5,stage_1,income_wait_2,1572800647,0,15,False
15,2,n88kcnup,6,stage_2,income_wait,1572800647,0,5,False
16,1,ph9m6cq9,1,stage_1,introduction,1572800834,3,16,False
16,1,ph9m6cq9,2,stage_1,chat,1572800837,3,16,False
16,1,ph9m6cq9,3,stage_1,chat_wait,1572800842,5,16,False
16,1,ph9m6cq9,4,stage_1,income,1572800845,3,16,False
16,1,ph9m6cq9,5,stage_1,income_wait_2,1572800846,1,16,False
16,1,ph9m6cq9,6,stage_2,income_wait,1572800846,0,6,False
16,2,2ecp1vvw,1,stage_1,introduction,1572800839,8,16,False
16,2,2ecp1vvw,2,stage_1,chat,1572800842,3,16,False
16,2,2ecp1vvw,3,stage_1,chat_wait,1572800842,0,16,False
16,2,2ecp1vvw,4,stage_1,income,1572800846,4,16,False
16,2,2ecp1vvw,5,stage_1,income_wait_2,1572800846,0,16,False
16,2,2ecp1vvw,6,stage_2,income_wait,1572800846,0,6,False
17,1,dva0pic8,1,stage_1,introduction,1572800887,3,17,False
17,1,dva0pic8,2,stage_1,chat,1572800891,4,17,False
17,1,dva0pic8,3,stage_1,chat_wait,1572800897,6,17,False
17,1,dva0pic8,4,stage_1,income,1572800902,5,17,False
17,1,dva0pic8,5,stage_1,income_wait_2,1572800904,2,17,False
17,1,dva0pic8,6,stage_2,income_wait,1572800904,0,7,False
17,2,g4gm9hbl,1,stage_1,introduction,1572800893,9,17,False
17,2,g4gm9hbl,2,stage_1,chat,1572800896,3,17,False
17,2,g4gm9hbl,3,stage_1,chat_wait,1572800896,0,17,False
17,2,g4gm9hbl,4,stage_1,income,1572800903,7,17,False
17,2,g4gm9hbl,5,stage_1,income_wait_2,1572800904,1,17,False
17,2,g4gm9hbl,6,stage_2,income_wait,1572800904,0,7,False
18,1,9gphifyl,1,stage_1,introduction,1572801199,3,18,False
18,1,9gphifyl,2,stage_1,chat,1572801202,3,18,False
18,1,9gphifyl,3,stage_1,chat_wait,1572801208,6,18,False
18,1,9gphifyl,4,stage_1,income,1572801211,3,18,False
18,1,9gphifyl,5,stage_1,income_wait_2,1572801212,1,18,False
18,2,6ccuk83v,1,stage_1,introduction,1572801205,9,18,False
18,2,6ccuk83v,2,stage_1,chat,1572801208,3,18,False
18,2,6ccuk83v,3,stage_1,chat_wait,1572801208,0,18,False
18,2,6ccuk83v,4,stage_1,income,1572801212,4,18,False
18,2,6ccuk83v,5,stage_1,income_wait_2,1572801212,0,18,False
19,1,wvurcymi,1,stage_1,introduction,1572801318,3,19,False
19,1,wvurcymi,2,stage_1,chat,1572801353,35,19,False
19,1,wvurcymi,3,stage_1,chat_wait,1572801354,1,19,False
19,1,wvurcymi,4,stage_1,income,1572801364,10,19,False
19,1,wvurcymi,5,stage_1,income_wait_2,1572801365,1,19,False
19,1,wvurcymi,6,stage_2,income_wait,1572801366,1,9,False
19,2,movm7qs3,1,stage_1,introduction,1572801345,30,19,False
19,2,movm7qs3,2,stage_1,chat,1572801352,7,19,False
19,2,movm7qs3,3,stage_1,chat_wait,1572801354,2,19,False
19,2,movm7qs3,4,stage_1,income,1572801365,11,19,False
19,2,movm7qs3,5,stage_1,income_wait_2,1572801365,0,19,False
19,2,movm7qs3,6,stage_2,income_wait,1572801366,1,9,False
22,1,ukxs1cb1,1,stage_1,check_understanding,1573477355,19,22,False
22,1,ukxs1cb1,2,stage_1,chat,1573477382,27,22,False
22,1,ukxs1cb1,3,stage_1,chat_wait,1573477382,0,22,False
22,1,ukxs1cb1,4,stage_1,income,1573477385,3,22,False
22,1,ukxs1cb1,5,stage_1,income_wait_2,1573477387,2,22,False
22,1,ukxs1cb1,6,stage_2,income_wait,1573477387,0,12,False
22,2,fsd6baig,1,stage_1,check_understanding,1573477377,41,22,False
22,2,fsd6baig,2,stage_1,chat,1573477381,4,22,False
22,2,fsd6baig,3,stage_1,chat_wait,1573477382,1,22,False
22,2,fsd6baig,4,stage_1,income,1573477387,5,22,False
22,2,fsd6baig,5,stage_1,income_wait_2,1573477387,0,22,False
22,2,fsd6baig,6,stage_2,income_wait,1573477387,0,12,False
23,1,59369b9h,1,stage_1,chat,1573477894,7,23,False
23,1,59369b9h,2,stage_1,chat_wait,1573477895,1,23,False
23,1,59369b9h,3,stage_1,income,1573477897,2,23,False
23,1,59369b9h,4,stage_1,income_wait_2,1573477899,2,23,False
23,1,59369b9h,5,stage_2,income_wait,1573477899,0,13,False
23,1,59369b9h,6,stage_2,income_stated,1573477901,2,13,False
23,1,59369b9h,7,stage_2,questions,1573477914,13,13,False
23,1,59369b9h,8,stage_2,questions_moral,1573477920,6,13,False
23,2,fpbouq1i,1,stage_1,chat,1573477893,6,23,False
