participant.id_in_session,participant.code,participant.label,participant._is_bot,participant._index_in_pages,participant._max_page_index,participant._current_app_name,participant._current_page_name,participant.time_started,participant.visited,participant.mturk_worker_id,participant.mturk_assignment_id,participant.payoff,player.id_in_group,player.control_correct,player.hours_stated_player,player.contr_task_0,player.contr_partner_0,player.contr_50noaudit_0,player.contr_50audit_0,player.contr_65noaudit_0,player.contr_35audit_0,player.contr_task,player.contr_partner,player.contr_50noaudit,player.contr_50audit,player.contr_65noaudit,player.contr_35audit,player.payoff,group.id_in_subsession,group.classifier_result,group.random_prob,group.treat,subsession.round_number,session.code,session.label,session.experimenter_name,session.mturk_HITId,session.mturk_HITGroupId,session.comment,session.is_demo
1,0hwfmpy5,,0,2,16,stage_1,feedback_understanding,2019-11-18 08:51:34.111640+00:00,1,,,0.00,1,,,,,,,,,1,1,,,,,0.00,1,,,,1,98l5nhp6,,,,,,1
2,x16csss4,,0,1,16,stage_1,check_understanding,2019-11-18 08:51:34.109708+00:00,1,,,0.00,2,,,,,,,,,,,,,,,0.00,1,,,,1,98l5nhp6,,,,,,1
1,imf4fxnn,,0,8,16,stage_1,state_hours_wait,2019-11-18 08:52:53.012443+00:00,1,,,0.00,1,,1,,,,,,,1,3,,,,,0.00,1,1,,,1,ern9bcmu,,,,,,1
2,kc16kjc2,,0,8,16,stage_1,state_hours_wait,2019-11-18 08:52:53.010535+00:00,1,,,0.00,2,,2,,,,,,,3,1,,,,,0.00,1,1,,,1,ern9bcmu,,,,,,1
1,hcptm11k,,0,6,16,stage_1,state_hours,2019-11-18 08:57:41.303928+00:00,1,,,0.00,1,,,,,,,,,1,1,,,,,0.00,1,1,,,1,l0j2wf4l,,,,,,1
2,kiv6gjq6,,0,6,16,stage_1,state_hours,2019-11-18 08:57:41.302027+00:00,1,,,0.00,2,,,,,,,,,1,1,,,,,0.00,1,1,,,1,l0j2wf4l,,,,,,1
1,4n5n7wbc,,0,15,17,stage_2,inform_payoff,2019-11-18 09:03:04.640125+00:00,1,,,0.00,1,,1,,,,,,,1,1,,,,,0.00,1,1,,,1,e0uql0da,,,,,,1
2,jkcvpd4w,,0,11,17,stage_2,questions_socio,2019-11-18 09:03:04.642126+00:00,1,,,0.00,2,,1,,,,,,,1,1,,,,,0.00,1,1,,,1,e0uql0da,,,,,,1
1,poheutsi,,0,1,13,stage_1,check_understanding,2019-11-18 09:07:34.026890+00:00,1,,,0.00,1,,,,,,,,,,,,,,,0.00,1,,,,1,4zocazoy,,,,,,1
2,wjte5gmy,,0,1,13,stage_1,check_understanding,2019-11-18 09:07:34.028832+00:00,1,,,0.00,2,,,,,,,,,,,,,,,0.00,1,,,,1,4zocazoy,,,,,,1
1,t4lpmyv3,,0,10,12,stage_2,inform_payoff,2019-11-18 09:07:55.079469+00:00,1,,,0.00,1,,1,,,,,,,1,1,,,,,0.00,1,1,,,1,jw8b3tqi,,,,,,1
2,dcdal7cw,,0,10,12,stage_2,inform_payoff,2019-11-18 09:07:55.082003+00:00,1,,,0.00,2,,1,,,,,,,1,1,,,,,0.00,1,1,,,1,jw8b3tqi,,,,,,1
1,ebuftn61,,0,1,12,stage_1,check_understanding,2019-11-18 09:27:53.486930+00:00,1,,,0.00,1,,,,,,,,,,,,,,,0.00,1,,,,1,b1074xok,,,,,,1
2,0ft3t57q,,0,1,12,stage_1,check_understanding,2019-11-18 09:27:53.495680+00:00,1,,,0.00,2,,,,,,,,,,,,,,,0.00,1,,,,1,b1074xok,,,,,,1
1,v19a1nl4,,0,7,17,stage_1,state_hours,2019-11-18 09:28:24.202189+00:00,1,,,0.00,1,,,,,,,,,1,1,,,,,0.00,1,1,,,1,pgoho96u,,,,,,1
2,84svfhsg,,0,7,17,stage_1,state_hours,2019-11-18 09:28:24.200149+00:00,1,,,0.00,2,,,,,,,,,1,1,,,,,0.00,1,1,,,1,pgoho96u,,,,,,1
1,hgmxxyrr,,0,17,17,stage_2,outro,2019-11-18 09:56:56.480928+00:00,1,,,67.00,1,,3,,,,,,,1,1,,,,,0.00,1,1,,,1,ljrdo84w,,,,,,1
2,1ed8id2m,,0,11,17,stage_2,questions_socio,2019-11-18 09:57:00.041384+00:00,1,,,68.00,2,,2,,,,,,,1,1,,,,,0.00,1,1,,,1,ljrdo84w,,,,,,1
1,n4b1srbu,,0,15,17,stage_2,inform_payoff,2019-11-18 10:02:08.373058+00:00,1,,,68.00,1,,2,,,,,,,2,1,,,,,0.00,1,1,,,1,me0eylf0,,,,,,1
2,4y38zrrc,,0,11,17,stage_2,questions_socio,2019-11-18 10:02:11.049013+00:00,1,,,68.00,2,,2,,,,,,,1,1,,,,,0.00,1,1,,,1,me0eylf0,,,,,,1
1,aoajahzy,,0,7,11,stage_2,hours_wait,2019-11-18 10:22:35.361955+00:00,1,,,0.00,1,,2,,,,,,,2,1,,,,,0.00,1,1,,,1,tncfz854,,,,,,1
2,awd8s7dw,,0,7,11,stage_2,hours_wait,2019-11-18 10:22:35.363596+00:00,1,,,0.00,2,,2,,,,,,,2,3,,,,,0.00,1,1,,,1,tncfz854,,,,,,1
1,b672bwwl,,0,10,13,stage_2,questions_other,2019-11-18 10:23:20.632045+00:00,1,,,68.00,1,,2,,,,,,,2,1,,,,,0.00,1,1,,,1,nlq0wi1z,,,,,,1
2,htvuj6rh,,0,10,13,stage_2,questions_other,2019-11-18 10:23:20.629883+00:00,1,,,68.00,2,,2,,,,,,,1,2,,,,,0.00,1,1,,,1,nlq0wi1z,,,,,,1
1,fe76wfwx,,0,1,13,stage_1,check_understanding,2019-11-19 09:21:02.981945+00:00,1,,,0.00,1,,,,,,,,,,,,,,,0.00,1,,,,1,qwb9jmmo,,,,,,1
2,3mhb000o,,0,1,13,stage_1,check_understanding,2019-11-19 09:21:02.980034+00:00,1,,,0.00,2,,,,,,,,,,,,,,,0.00,1,,,,1,qwb9jmmo,,,,,,1
1,i5d5w5rb,,0,1,14,stage_1,check_understanding,2019-11-19 09:29:46.358664+00:00,1,,,0.00,1,,,,,,,,,,,,,,,0.00,1,,,,1,1uch3zea,,,,,,1
2,mc7cnkpb,,0,1,14,stage_1,check_understanding,2019-11-19 09:29:46.302976+00:00,1,,,0.00,2,,,,,,,,,,,,,,,0.00,1,,,,1,1uch3zea,,,,,,1
1,8w1k6xap,,0,11,14,stage_2,questions_other,2019-11-19 09:33:00.695988+00:00,1,,,68.00,1,,2,,,,,,,1,3,,,,,0.00,1,1,,,1,tc8lckbk,,,,,,1
2,z6kc5ft3,,0,11,14,stage_2,questions_other,2019-11-19 09:33:00.697896+00:00,1,,,68.00,2,,2,,,,,,,2,3,,,,,0.00,1,1,,,1,tc8lckbk,,,,,,1
1,vvwciw7s,,0,2,17,stage_1,feedback_understanding_0,2019-11-19 09:50:22.178548+00:00,1,,,0.00,1,,,,,,,,,1,2,,,,,0.00,1,,,,1,reea2quf,,,,,,1
2,10137fy1,,0,1,17,stage_1,check_understanding,2019-11-19 09:50:22.181764+00:00,1,,,0.00,2,,,,,,,,,,,,,,,0.00,1,,,,1,reea2quf,,,,,,1
1,em97z69t,,0,7,17,stage_1,state_hours,2019-11-19 09:56:38.559023+00:00,1,,,0.00,1,,,,,,,,,1,1,,,,,0.00,1,1,,,1,rqteg9u2,,,,,,1
2,2m3aukxf,,0,7,17,stage_1,state_hours,2019-11-19 09:56:38.560852+00:00,1,,,0.00,2,,,,,,,,,2,2,,,,,0.00,1,1,,,1,rqteg9u2,,,,,,1
1,kqgcqve6,,0,13,17,stage_2,questions_other,2019-11-19 10:12:15.743722+00:00,1,,,68.00,1,,2,,,,,,,1,1,,,,,0.00,1,1,,,1,dshp6cio,,,,,,1
2,gtm4rqr8,,0,13,17,stage_2,questions_other,2019-11-19 10:12:15.741422+00:00,1,,,68.00,2,,2,,,,,,,3,1,,,,,0.00,1,1,,,1,dshp6cio,,,,,,1
1,lsx7ke4s,,0,10,12,stage_2,inform_payoff,2019-11-19 14:00:46.351111+00:00,1,,,69.00,1,,1,,,,,,,3,2,,,,,0.00,1,1,,,1,lhz6t35u,,,,,,1
2,3k5270v7,,0,10,12,stage_2,inform_payoff,2019-11-19 14:00:46.353112+00:00,1,,,69.00,2,,1,,,,,,,1,1,,,,,0.00,1,1,,,1,lhz6t35u,,,,,,1
1,c8vm0rvt,,0,9,12,stage_2,hours_wait,2019-11-19 14:09:41.470020+00:00,1,,,0.00,1,,1,,,,,,,3,1,,,,,0.00,1,1,,,1,p8xv05r2,,,,,,1
2,rsn00qtv,,0,9,12,stage_2,hours_wait,2019-11-19 14:09:41.477318+00:00,1,,,0.00,2,,1,,,,,,,2,1,,,,,0.00,1,1,,,1,p8xv05r2,,,,,,1
1,nrgpbcah,,0,10,12,stage_2,inform_payoff,2019-11-19 14:10:37.383236+00:00,1,,,87.00,1,,1,,,,,,,2,1,,,,,0.00,1,1,,,1,29de49ud,,,,,,1
2,ayvvyrkr,,0,10,12,stage_2,inform_payoff,2019-11-19 14:10:37.378221+00:00,1,,,87.00,2,,1,,,,,,,2,2,,,,,0.00,1,1,,,1,29de49ud,,,,,,1
1,mp2lzw7t,,0,9,12,stage_2,hours_wait,2019-11-19 14:13:46.950532+00:00,1,,,0.00,1,,1,,,,,,,3,1,,,,,0.00,1,1,,,1,g7arca5g,,,,,,1
2,pl9xb7sv,,0,9,12,stage_2,hours_wait,2019-11-19 14:13:46.956844+00:00,1,,,0.00,2,,2,,,,,,,3,1,,,,,0.00,1,1,,,1,g7arca5g,,,,,,1
1,y21ukt0o,,0,9,12,stage_2,hours_wait,2019-11-19 14:22:40.180786+00:00,1,,,0.00,1,,1,,,,,,,2,2,,,,,0.00,1,1,,,1,ng2ejm8e,,,,,,1
2,a1httrxi,,0,9,12,stage_2,hours_wait,2019-11-19 14:22:40.183819+00:00,1,,,0.00,2,,3,,,,,,,3,1,,,,,0.00,1,1,,,1,ng2ejm8e,,,,,,1
1,fzwns1bi,,0,9,12,stage_2,hours_wait,2019-11-19 14:26:46.447363+00:00,1,,,0.00,1,,1,,,,,,,2,2,,,,,0.00,1,1,,,1,j13vi7ne,,,,,,1
2,ga9glm1c,,0,9,12,stage_2,hours_wait,2019-11-19 14:26:46.452600+00:00,1,,,0.00,2,,2,,,,,,,2,1,,,,,0.00,1,1,,,1,j13vi7ne,,,,,,1
1,21qfs2mk,,0,12,12,stage_2,outro,2019-11-19 14:30:57.499933+00:00,1,,,24.90,1,,1,,,,,,,2,1,,,,,0.00,1,1,,,1,smtwwlyu,,,,,,1
