participant.id_in_session,participant.code,participant._is_bot,participant._index_in_pages,participant._max_page_index,participant._current_app_name,participant._current_page_name,participant.time_started,participant.visited,participant.mturk_worker_id,participant.mturk_assignment_id,participant.payoff,player.id_in_group,player.absent_player,player.control_correct,player.same_hours,player.to_audit_player,player.audited_both,player.hours_stated,player.contr_partner_0,player.contr_prob_0,player.contr_fix_0,player.contr_var_0,player.contr_fine_0,player.contr_50noaudit_0,player.contr_50audit_0,player.contr_65noaudit_0,player.contr_35audit_0,player.contr_partner,player.contr_prob,player.contr_fix,player.contr_var,player.contr_fine,player.contr_50noaudit,player.contr_50audit,player.contr_65noaudit,player.contr_35audit,player.fine,player.lab_points,player.points_euro,player.ctr_euro,player.belief,player.age,player.gender,player.study,player.study_level,player.econ,player.moral_freude,player.moral_aerger,player.moral_angst,player.moral_scham,player.moral_schuld,player.risk,player.lie,player.complex,player.pol,player.income,player.pray,player.lab_exp,player.exp_demand_q,player.exp_demand_open,player.exp_demand_chat,player.exp_demand_chat_open,player.feedback,player.payoff,group.id_in_subsession,group.all_groups,group.audit_groups,group.to_audit,group.absent_group,subsession.round_number,session.code,session.label,session.experimenter_name,session.mturk_HITId,session.mturk_HITGroupId,session.comment,session.is_demo
1,uj7hdyyi,0,18,20,hausladen_FHM,outro,2020-05-18 08:01:23.152261+00:00,1,,,13,1,0,1,1,0,,60,2,1,1,1,2,60,60,70,50,,,,,,,,,,0,100,10,1,80,30,1,3,1,1,8,1,1,1,1,8,8,1,5,300,1,5,1,Ob Teilnehmer bzw. ab wann Teilnehmer zum eigenen Vorteil lügen,2,,,13,1,10,3,0,0,1,b69m6lyx,,,,,,0
2,0n5bauor,0,18,20,hausladen_FHM,outro,2020-05-18 08:01:23.159743+00:00,1,,,13,2,0,1,1,0,,60,2,1,1,1,2,60,60,70,50,,,,,,,,,,0,100,10,1,80,21,1,5,1,1,6,1,1,1,1,6,3,1,5,450,1,5,1,Rationalität bei Entscheidungen,2,,,13,1,10,3,0,0,1,b69m6lyx,,,,,,0
3,r8kak6j0,0,18,20,hausladen_FHM,outro,2020-05-18 08:01:23.214486+00:00,1,,,12,1,0,0,1,0,,60,2,1,1,1,2,20,20,30,10,2,1,1,1,2,60,60,70,50,0,100,10,0,90,33,1,9,4,2,6,1,1,1,1,5,3,4,2,500,4,3,2,Bereitschaft zum Betrug,2,,,12,2,10,3,0,0,1,b69m6lyx,,,,,,0
4,lo8m0x70,0,18,20,hausladen_FHM,outro,2020-05-18 08:01:23.281858+00:00,1,,,12,2,0,0,1,0,,60,2,1,1,1,2,20,20,30,10,2,1,1,1,2,60,60,70,50,0,100,10,0,100,31,1,9,5,2,2,8,1,1,1,5,2,2,2,600,1,4,1,Die belanglose Forschungsfrage einer Bachelorarbeit.,2,Aber ich habe darüber nachgedacht.,,12,2,10,3,0,0,1,b69m6lyx,,,,,,0
5,xojbeobp,0,18,20,hausladen_FHM,outro,2020-05-18 08:01:23.568409+00:00,1,,,12,1,0,0,1,0,,60,2,1,1,1,2,20,20,30,10,2,1,1,1,2,60,60,70,50,0,100,10,0,80,23,2,5,1,1,8,1,1,6,1,7,4,4,3,500,1,2,2,Welchen Einfluss haben kulturelle oder politische Einflüsse auf die Ehrlichkeit,2,,,12,3,10,3,0,0,1,b69m6lyx,,,,,,0
6,n94ev05h,0,18,20,hausladen_FHM,outro,2020-05-18 08:01:23.320669+00:00,1,,,12,2,0,0,1,0,,60,2,1,1,1,2,20,20,30,10,2,1,1,1,2,60,60,70,50,0,100,10,0,95,20,1,2,4,2,9,3,2,1,1,7,6,4,5,225,3,3,1,"Risikobereitschaft, Ehrlichkeit",2,,,12,3,10,3,0,0,1,b69m6lyx,,,,,,0
7,wipyck3j,0,20,20,hausladen_FHM,outro_alternative,2020-05-18 08:01:23.334469+00:00,1,,,2,1,1,1,,,,,2,1,1,1,2,60,60,70,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,4,10,3,1,1,1,b69m6lyx,,,,,,0
8,79d67ni1,0,20,20,hausladen_FHM,outro_alternative,2020-05-18 08:01:23.479071+00:00,1,,,6,2,0,0,,,,15,2,1,1,1,2,40,60,40,50,2,1,1,1,2,60,60,70,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,4,10,3,1,1,1,b69m6lyx,,,,,,0
9,2590my8r,0,20,20,hausladen_FHM,outro_alternative,2020-05-18 08:01:23.651054+00:00,1,,,6,1,0,1,,,,20,2,1,1,1,2,60,60,70,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,5,10,3,0,1,1,b69m6lyx,,,,,,0
10,9k34mngn,0,20,20,hausladen_FHM,outro_alternative,2020-05-18 08:01:23.421433+00:00,1,,,2,2,1,1,,,,,2,1,1,1,2,60,60,70,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,5,10,3,0,1,1,b69m6lyx,,,,,,0
