session_id,participant__id_in_session,participant__code,page_index,app_name,page_name,epoch_time,seconds_on_page,subsession_pk,auto_submitted
4,1,tozbybl6,6,stage_1,chat_wait_before,1576585252,0,4,False
4,1,tozbybl6,7,stage_1,chat,1576585430,178,4,False
4,1,tozbybl6,8,stage_1,chat_wait,1576585430,0,4,False
4,1,tozbybl6,9,stage_1,state_hours,1576585445,15,4,False
4,1,tozbybl6,10,stage_2,questions_prep,1576585496,51,4,False
4,1,tozbybl6,11,stage_2,questions_belief,1576585529,33,4,False
4,1,tozbybl6,12,stage_2,questions_socio,1576585544,15,4,False
4,1,tozbybl6,13,stage_2,questions_moral,1576585571,27,4,False
4,1,tozbybl6,14,stage_2,questions_other,1576585623,52,4,False
4,1,tozbybl6,15,stage_2,questions_expdem,1576585659,36,4,False
4,1,tozbybl6,16,stage_2,payoff_wait,1576586242,583,4,False
4,1,tozbybl6,17,stage_2,payoff_show,1576586258,16,4,False
4,1,tozbybl6,18,stage_2,outro_feedback,1576586271,13,4,False
4,2,de063mau,1,stage_1,intro_gen,1576584380,112,4,False
4,2,de063mau,2,stage_1,intro_gen_wait,1576584386,6,4,False
4,2,de063mau,3,stage_1,intro_spec,1576584807,421,4,True
4,2,de063mau,4,stage_1,check_understanding_0,1576584897,90,4,False
4,2,de063mau,6,stage_1,chat_wait_before,1576585252,355,4,False
4,2,de063mau,7,stage_1,chat,1576585420,168,4,False
4,2,de063mau,8,stage_1,chat_wait,1576585430,10,4,False
4,2,de063mau,9,stage_1,state_hours,1576585438,8,4,False
4,2,de063mau,10,stage_2,questions_prep,1576585448,10,4,False
4,2,de063mau,11,stage_2,questions_belief,1576585469,21,4,False
4,2,de063mau,12,stage_2,questions_socio,1576585491,22,4,False
4,2,de063mau,13,stage_2,questions_moral,1576585515,24,4,False
4,2,de063mau,14,stage_2,questions_other,1576585605,90,4,False
4,2,de063mau,15,stage_2,questions_expdem,1576585691,86,4,False
4,2,de063mau,16,stage_2,payoff_wait,1576586243,552,4,False
4,2,de063mau,17,stage_2,payoff_show,1576586272,29,4,False
4,2,de063mau,18,stage_2,outro_feedback,1576586366,94,4,False
4,3,8k0ek7on,1,stage_1,intro_gen,1576584337,69,4,False
4,3,8k0ek7on,2,stage_1,intro_gen_wait,1576584386,49,4,False
4,3,8k0ek7on,3,stage_1,intro_spec,1576584806,420,4,True
4,3,8k0ek7on,4,stage_1,check_understanding_0,1576584989,183,4,False
4,3,8k0ek7on,6,stage_1,chat_wait_before,1576584989,0,4,False
4,3,8k0ek7on,7,stage_1,chat,1576585289,300,4,True
4,3,8k0ek7on,8,stage_1,chat_wait,1576585289,0,4,False
4,3,8k0ek7on,9,stage_1,state_hours,1576585293,4,4,False
4,3,8k0ek7on,10,stage_2,questions_prep,1576585295,2,4,False
4,3,8k0ek7on,11,stage_2,questions_belief,1576585340,45,4,False
4,3,8k0ek7on,12,stage_2,questions_socio,1576585353,13,4,False
4,3,8k0ek7on,13,stage_2,questions_moral,1576585369,16,4,False
4,3,8k0ek7on,14,stage_2,questions_other,1576585406,37,4,False
4,3,8k0ek7on,15,stage_2,questions_expdem,1576585521,115,4,False
4,3,8k0ek7on,16,stage_2,payoff_wait,1576586243,722,4,False
4,3,8k0ek7on,17,stage_2,payoff_show,1576586289,46,4,False
4,3,8k0ek7on,18,stage_2,outro_feedback,1576586292,3,4,False
4,4,hhiphqgy,1,stage_1,intro_gen,1576584305,37,4,False
4,4,hhiphqgy,2,stage_1,intro_gen_wait,1576584386,81,4,False
4,4,hhiphqgy,3,stage_1,intro_spec,1576584807,421,4,True
4,4,hhiphqgy,4,stage_1,check_understanding_0,1576584881,74,4,False
4,4,hhiphqgy,5,stage_1,check_understanding,1576584961,80,4,False
4,4,hhiphqgy,6,stage_1,chat_wait_before,1576584989,28,4,False
4,4,hhiphqgy,7,stage_1,chat,1576585289,300,4,True
4,4,hhiphqgy,8,stage_1,chat_wait,1576585289,0,4,False
4,4,hhiphqgy,9,stage_1,state_hours,1576585297,8,4,False
4,4,hhiphqgy,10,stage_2,questions_prep,1576585302,5,4,False
4,4,hhiphqgy,11,stage_2,questions_belief,1576585322,20,4,False
4,4,hhiphqgy,12,stage_2,questions_socio,1576585338,16,4,False
4,4,hhiphqgy,13,stage_2,questions_moral,1576585356,18,4,False
4,4,hhiphqgy,14,stage_2,questions_other,1576585415,59,4,False
4,4,hhiphqgy,15,stage_2,questions_expdem,1576585501,86,4,False
4,4,hhiphqgy,16,stage_2,payoff_wait,1576586243,742,4,False
4,4,hhiphqgy,17,stage_2,payoff_show,1576586258,15,4,False
4,4,hhiphqgy,18,stage_2,outro_feedback,1576586280,22,4,False
4,5,4mnz2x90,1,stage_1,intro_gen,1576584323,55,4,False
4,5,4mnz2x90,2,stage_1,intro_gen_wait,1576584386,63,4,False
4,5,4mnz2x90,3,stage_1,intro_spec,1576584806,420,4,True
4,5,4mnz2x90,4,stage_1,check_understanding_0,1576584934,128,4,False
4,5,4mnz2x90,5,stage_1,check_understanding,1576585010,76,4,False
4,5,4mnz2x90,6,stage_1,chat_wait_before,1576585143,133,4,False
4,5,4mnz2x90,7,stage_1,chat,1576585443,300,4,True
